part_id,order_id,part_name_id,quantity,order_date,order_time,unit_price,total_price,part_size,part_category,warehouse_id,supplier_name,part_name
19,239,chain_feed_l,8,2023-06-19,07:46:50,778.98,6231.84,L,Feeding System,WH01,AgriParts Co,Feed Chain Assembly
20,146,radiator_cool_m,10,2023-08-28,12:12:13,162.75,1627.5,S,Cooling System,WH03,FieldMachinery Inc,Radiator Cooling Unit
21,116,gearbox_hd_l,3,2023-08-23,00:53:21,93.17,279.51,M,Transmission,WH03,AgriParts Co,Heavy Duty Gearbox
22,234,bearing_axle_m,10,2023-11-20,07:04:45,1084.56,10845.6,M,Chassis,WH02,GreenAgro Supplies,Axle Bearing
23,125,blade_std_s,1,2023-08-08,03:52:50,1173.17,1173.17,S,Cutting System,WH01,GreenAgro Supplies,Standard Cutting Blade
24,26,radiator_cool_m,4,2023-10-07,04:25:06,698.28,2793.12,M,Cooling System,WH03,FieldMachinery Inc,Radiator Cooling Unit
25,387,chain_feed_l,10,2023-06-04,18:22:42,654.44,6544.4,L,Feeding System,WH02,HarvestTech Ltd,Feed Chain Assembly
26,381,chain_feed_l,8,2023-07-09,09:26:12,1133.87,9070.96,L,Feeding System,WH02,GreenAgro Supplies,Feed Chain Assembly
27,321,gearbox_hd_l,5,2023-06-10,16:00:54,139.29,696.45,M,Transmission,WH01,FieldMachinery Inc,Heavy Duty Gearbox
28,172,sensor_temp_s,9,2023-09-17,02:56:01,229.1,2061.9,S,Electrical,WH02,HarvestTech Ltd,Temperature Sensor
29,362,gearbox_hd_l,2,2023-11-27,15:06:17,626.21,1252.42,L,Transmission,WH02,GreenAgro Supplies,Heavy Duty Gearbox
30,32,gearbox_hd_l,7,2023-01-04,14:10:49,1359.64,9517.48,L,Transmission,WH03,AgriParts Co,Heavy Duty Gearbox
31,392,starter_motor_s,7,2023-12-08,17:21:58,33.7,235.9,M,Electrical,WH02,GreenAgro Supplies,Starter Motor
32,215,radiator_cool_m,9,2023-11-29,21:57:49,1349.27,12143.43,M,Cooling System,WH01,FieldMachinery Inc,Radiator Cooling Unit
33,224,chain_feed_l,1,2023-06-23,14:09:28,520.79,520.79,L,Feeding System,WH02,HarvestTech Ltd,Feed Chain Assembly
34,240,blade_std_s,10,2023-02-06,19:26:48,64.78,647.8,M,Cutting System,WH03,AgriParts Co,Standard Cutting Blade
35,43,bearing_axle_m,3,2023-07-14,16:48:35,293.05,879.15,M,Chassis,WH02,FieldMachinery Inc,Axle Bearing
36,109,chain_feed_l,6,2023-10-18,12:17:16,1147.81,6886.86,M,Feeding System,WH02,GreenAgro Supplies,Feed Chain Assembly
37,130,hyd_pump_l,8,2023-03-12,00:42:20,1129.81,9038.48,S,Hydraulic System,WH02,HarvestTech Ltd,Hydraulic Pump Large
38,333,hyd_pump_l,1,2023-02-05,01:07:47,1425.68,1425.68,S,Hydraulic System,WH01,HarvestTech Ltd,Hydraulic Pump Large
39,123,blade_std_s,8,2023-05-15,04:09:53,856.86,6854.88,S,Cutting System,WH02,FieldMachinery Inc,Standard Cutting Blade
40,393,sensor_temp_s,3,2023-10-11,22:03:35,920.69,2762.07,L,Electrical,WH03,AgriParts Co,Temperature Sensor
41,399,blade_std_s,5,2023-03-01,03:56:08,878.56,4392.8,M,Cutting System,WH03,GreenAgro Supplies,Standard Cutting Blade
42,204,gearbox_hd_l,2,2023-09-28,21:33:27,1043.66,2087.32,L,Transmission,WH01,AgriParts Co,Heavy Duty Gearbox
43,357,belt_drive_m,10,2023-05-03,04:24:26,1199.44,11994.4,L,Transmission,WH01,FieldMachinery Inc,Drive Belt Medium
44,273,bearing_axle_m,6,2023-05-08,02:30:38,771.29,4627.74,M,Chassis,WH01,GreenAgro Supplies,Axle Bearing
45,251,hyd_pump_l,7,2023-08-31,13:11:12,962.49,6737.43,M,Hydraulic System,WH03,HarvestTech Ltd,Hydraulic Pump Large
46,223,blade_std_s,9,2023-02-02,23:40:56,423.37,3810.33,L,Cutting System,WH02,GreenAgro Supplies,Standard Cutting Blade
47,224,starter_motor_s,5,2023-06-23,11:44:05,1281.28,6406.4,S,Electrical,WH02,GreenAgro Supplies,Starter Motor
48,125,chain_feed_l,10,2023-08-08,22:13:17,1010.58,10105.8,M,Feeding System,WH01,GreenAgro Supplies,Feed Chain Assembly
49,167,blade_std_s,8,2023-09-17,07:43:22,548.37,4386.96,M,Cutting System,WH02,FieldMachinery Inc,Standard Cutting Blade
50,306,belt_drive_m,9,2023-08-21,00:22:10,787.03,7083.27,S,Transmission,WH01,HarvestTech Ltd,Drive Belt Medium
51,369,bearing_axle_m,8,2023-11-15,20:12:48,1143.29,9146.32,L,Chassis,WH02,GreenAgro Supplies,Axle Bearing
52,230,engine_filter_m,2,2023-04-23,10:42:46,351.85,703.7,L,Engine Components,WH01,FieldMachinery Inc,Engine Oil Filter
53,340,starter_motor_s,6,2023-10-19,17:13:51,841.37,5048.22,M,Electrical,WH02,FieldMachinery Inc,Starter Motor
54,181,chain_feed_l,5,2023-11-03,11:09:49,395.82,1979.1,S,Feeding System,WH03,HarvestTech Ltd,Feed Chain Assembly
55,162,hyd_pump_l,9,2023-08-21,06:44:27,307.52,2767.68,L,Hydraulic System,WH02,FieldMachinery Inc,Hydraulic Pump Large
56,371,starter_motor_s,9,2023-02-21,21:43:42,442.42,3981.78,S,Electrical,WH01,FieldMachinery Inc,Starter Motor
57,117,sensor_temp_s,3,2023-03-15,11:00:18,45.87,137.61,L,Electrical,WH01,FieldMachinery Inc,Temperature Sensor
58,24,engine_filter_m,9,2023-11-29,10:38:10,1053.69,9483.21,S,Engine Components,WH03,GreenAgro Supplies,Engine Oil Filter
59,53,engine_filter_m,10,2023-07-13,10:21:08,717.36,7173.6,M,Engine Components,WH02,HarvestTech Ltd,Engine Oil Filter
60,27,belt_drive_m,8,2023-08-03,04:09:13,1237.62,9900.96,M,Transmission,WH02,AgriParts Co,Drive Belt Medium
61,296,engine_filter_m,3,2023-09-06,05:25:55,1221.43,3664.29,M,Engine Components,WH01,HarvestTech Ltd,Engine Oil Filter
62,61,radiator_cool_m,7,2023-04-09,22:04:31,904.29,6330.03,L,Cooling System,WH01,GreenAgro Supplies,Radiator Cooling Unit
63,231,chain_feed_l,5,2023-01-04,21:25:39,1485.3,7426.5,M,Feeding System,WH03,AgriParts Co,Feed Chain Assembly
64,313,hyd_pump_l,4,2023-03-21,22:46:27,336.26,1345.04,L,Hydraulic System,WH01,HarvestTech Ltd,Hydraulic Pump Large
65,123,blade_std_s,9,2023-05-15,02:43:58,255.89,2303.01,M,Cutting System,WH02,GreenAgro Supplies,Standard Cutting Blade
66,150,engine_filter_m,4,2023-01-06,10:29:22,1067.76,4271.04,L,Engine Components,WH02,AgriParts Co,Engine Oil Filter
67,352,gearbox_hd_l,5,2023-06-11,22:45:27,894.94,4474.7,S,Transmission,WH02,AgriParts Co,Heavy Duty Gearbox
68,279,gearbox_hd_l,3,2023-08-05,09:40:16,1244.28,3732.84,S,Transmission,WH01,HarvestTech Ltd,Heavy Duty Gearbox
69,158,starter_motor_s,10,2023-02-27,10:30:28,672.75,6727.5,M,Electrical,WH03,FieldMachinery Inc,Starter Motor
70,359,bearing_axle_m,5,2023-07-22,18:13:17,821.47,4107.35,M,Chassis,WH01,AgriParts Co,Axle Bearing
71,222,sensor_temp_s,10,2023-04-26,09:06:56,63.15,631.5,S,Electrical,WH03,AgriParts Co,Temperature Sensor
72,392,belt_drive_m,10,2023-12-08,01:27:53,1150.59,11505.9,S,Transmission,WH02,GreenAgro Supplies,Drive Belt Medium
73,143,blade_std_s,10,2023-07-17,15:52:12,961.31,9613.1,M,Cutting System,WH01,GreenAgro Supplies,Standard Cutting Blade
74,179,bearing_axle_m,6,2023-09-29,11:41:21,1013.45,6080.7,S,Chassis,WH02,GreenAgro Supplies,Axle Bearing
75,356,chain_feed_l,5,2023-06-10,14:34:48,1225.01,6125.05,L,Feeding System,WH01,GreenAgro Supplies,Feed Chain Assembly
76,46,sensor_temp_s,5,2023-06-26,11:46:12,195.98,979.9,M,Electrical,WH03,AgriParts Co,Temperature Sensor
77,337,radiator_cool_m,8,2023-05-01,15:02:45,104.95,839.6,L,Cooling System,WH02,GreenAgro Supplies,Radiator Cooling Unit
78,321,chain_feed_l,1,2023-06-10,07:24:40,418.91,418.91,S,Feeding System,WH02,GreenAgro Supplies,Feed Chain Assembly
79,358,chain_feed_l,2,2023-05-16,01:03:03,1460.39,2920.78,L,Feeding System,WH01,HarvestTech Ltd,Feed Chain Assembly
80,160,radiator_cool_m,1,2023-08-11,20:06:24,626.79,626.79,S,Cooling System,WH01,GreenAgro Supplies,Radiator Cooling Unit
81,61,blade_std_s,8,2023-04-09,10:37:34,775.59,6204.72,M,Cutting System,WH02,GreenAgro Supplies,Standard Cutting Blade
82,242,gearbox_hd_l,8,2023-05-02,20:04:15,238.35,1906.8,S,Transmission,WH03,HarvestTech Ltd,Heavy Duty Gearbox
83,36,belt_drive_m,7,2023-06-24,12:22:28,1403.02,9821.14,L,Transmission,WH02,AgriParts Co,Drive Belt Medium
84,145,belt_drive_m,10,2023-11-02,21:06:51,1498.38,14983.8,M,Transmission,WH01,GreenAgro Supplies,Drive Belt Medium
85,276,chain_feed_l,6,2023-10-02,12:06:13,839.08,5034.48,L,Feeding System,WH02,GreenAgro Supplies,Feed Chain Assembly
86,165,gearbox_hd_l,4,2023-09-14,20:49:06,589.88,2359.52,M,Transmission,WH01,FieldMachinery Inc,Heavy Duty Gearbox
87,382,chain_feed_l,7,2023-05-26,14:03:24,1482.91,10380.37,L,Feeding System,WH01,GreenAgro Supplies,Feed Chain Assembly
88,19,blade_std_s,9,2023-09-16,21:29:16,514.69,4632.21,S,Cutting System,WH02,AgriParts Co,Standard Cutting Blade
89,270,chain_feed_l,1,2023-07-26,05:14:54,629.72,629.72,L,Feeding System,WH01,AgriParts Co,Feed Chain Assembly
90,241,belt_drive_m,6,2023-09-21,22:41:31,1046.74,6280.44,L,Transmission,WH01,FieldMachinery Inc,Drive Belt Medium
91,346,radiator_cool_m,7,2023-02-11,11:31:45,949.53,6646.71,M,Cooling System,WH03,AgriParts Co,Radiator Cooling Unit
92,317,hyd_pump_l,4,2023-01-30,22:58:47,1034.49,4137.96,M,Hydraulic System,WH01,AgriParts Co,Hydraulic Pump Large
93,223,hyd_pump_l,2,2023-02-02,16:09:13,270.39,540.78,M,Hydraulic System,WH01,AgriParts Co,Hydraulic Pump Large
94,167,engine_filter_m,5,2023-09-17,13:03:04,577.89,2889.45,S,Engine Components,WH01,GreenAgro Supplies,Engine Oil Filter
95,290,blade_std_s,3,2023-10-04,06:22:26,141.48,424.44,M,Cutting System,WH03,HarvestTech Ltd,Standard Cutting Blade
96,255,starter_motor_s,3,2023-04-08,08:27:13,705.2,2115.6,M,Electrical,WH02,FieldMachinery Inc,Starter Motor
97,342,engine_filter_m,8,2023-10-24,10:28:20,1024.48,8195.84,S,Engine Components,WH01,GreenAgro Supplies,Engine Oil Filter
98,177,starter_motor_s,5,2023-03-24,23:15:46,1443.99,7219.95,L,Electrical,WH02,GreenAgro Supplies,Starter Motor
99,155,gearbox_hd_l,7,2023-05-17,17:35:35,182.31,1276.17,M,Transmission,WH03,FieldMachinery Inc,Heavy Duty Gearbox
100,295,belt_drive_m,5,2023-07-28,00:47:55,1467.47,7337.35,L,Transmission,WH02,FieldMachinery Inc,Drive Belt Medium
101,5,starter_motor_s,1,2023-05-06,22:04:42,1124.13,1124.13,M,Electrical,WH01,FieldMachinery Inc,Starter Motor
102,113,gearbox_hd_l,10,2023-09-13,09:07:30,1024.7,10247.0,L,Transmission,WH03,HarvestTech Ltd,Heavy Duty Gearbox
103,322,hyd_pump_l,1,2023-01-30,11:14:52,1188.2,1188.2,S,Hydraulic System,WH03,FieldMachinery Inc,Hydraulic Pump Large
104,375,blade_std_s,2,2023-09-17,10:44:40,506.91,1013.82,M,Cutting System,WH01,HarvestTech Ltd,Standard Cutting Blade
105,68,radiator_cool_m,6,2023-02-10,19:19:39,765.15,4590.9,M,Cooling System,WH01,FieldMachinery Inc,Radiator Cooling Unit
106,247,belt_drive_m,6,2023-10-04,04:11:35,715.79,4294.74,S,Transmission,WH01,HarvestTech Ltd,Drive Belt Medium
107,347,bearing_axle_m,9,2023-08-03,13:19:02,158.2,1423.8,M,Chassis,WH01,FieldMachinery Inc,Axle Bearing
108,275,hyd_pump_l,8,2023-04-08,13:25:11,1017.42,8139.36,L,Hydraulic System,WH02,GreenAgro Supplies,Hydraulic Pump Large
109,327,sensor_temp_s,2,2023-09-29,08:30:47,720.43,1440.86,L,Electrical,WH03,FieldMachinery Inc,Temperature Sensor
110,313,gearbox_hd_l,2,2023-03-21,23:08:03,1240.19,2480.38,L,Transmission,WH02,GreenAgro Supplies,Heavy Duty Gearbox
111,60,blade_std_s,1,2023-10-23,01:21:17,473.94,473.94,M,Cutting System,WH01,AgriParts Co,Standard Cutting Blade
112,121,radiator_cool_m,3,2023-10-15,14:09:00,694.12,2082.36,L,Cooling System,WH03,GreenAgro Supplies,Radiator Cooling Unit
113,301,blade_std_s,7,2023-03-26,23:50:41,171.06,1197.42,M,Cutting System,WH03,GreenAgro Supplies,Standard Cutting Blade
114,144,engine_filter_m,6,2023-07-15,07:54:37,678.99,4073.94,S,Engine Components,WH02,AgriParts Co,Engine Oil Filter
115,352,sensor_temp_s,9,2023-06-11,23:28:38,554.04,4986.36,M,Electrical,WH02,HarvestTech Ltd,Temperature Sensor
116,63,chain_feed_l,2,2023-02-05,07:43:21,971.51,1943.02,L,Feeding System,WH01,AgriParts Co,Feed Chain Assembly
117,171,gearbox_hd_l,3,2023-11-24,20:33:20,327.68,983.04,L,Transmission,WH01,HarvestTech Ltd,Heavy Duty Gearbox
118,120,sensor_temp_s,3,2023-05-07,21:41:56,29.18,87.54,S,Electrical,WH01,FieldMachinery Inc,Temperature Sensor
119,90,hyd_pump_l,1,2023-05-06,04:47:55,46.92,46.92,S,Hydraulic System,WH03,FieldMachinery Inc,Hydraulic Pump Large
120,9,blade_std_s,5,2023-12-13,01:54:28,211.97,1059.85,M,Cutting System,WH03,AgriParts Co,Standard Cutting Blade
121,382,hyd_pump_l,8,2023-05-26,16:19:16,1172.58,9380.64,L,Hydraulic System,WH03,AgriParts Co,Hydraulic Pump Large
122,232,radiator_cool_m,4,2023-02-06,22:23:43,88.96,355.84,L,Cooling System,WH03,FieldMachinery Inc,Radiator Cooling Unit
123,235,engine_filter_m,1,2023-01-31,17:26:21,1274.77,1274.77,M,Engine Components,WH03,AgriParts Co,Engine Oil Filter
124,252,chain_feed_l,2,2023-05-05,02:56:29,500.11,1000.22,S,Feeding System,WH01,HarvestTech Ltd,Feed Chain Assembly
125,141,starter_motor_s,10,2023-11-02,19:57:54,1075.43,10754.3,M,Electrical,WH03,FieldMachinery Inc,Starter Motor
126,233,radiator_cool_m,10,2023-12-29,15:39:47,171.29,1712.9,L,Cooling System,WH01,HarvestTech Ltd,Radiator Cooling Unit
127,221,chain_feed_l,4,2023-05-07,15:03:59,524.92,2099.68,M,Feeding System,WH02,GreenAgro Supplies,Feed Chain Assembly
128,374,hyd_pump_l,6,2023-04-20,15:32:16,485.97,2915.82,M,Hydraulic System,WH02,HarvestTech Ltd,Hydraulic Pump Large
129,352,chain_feed_l,2,2023-06-11,03:19:17,1251.86,2503.72,S,Feeding System,WH02,AgriParts Co,Feed Chain Assembly
130,382,sensor_temp_s,3,2023-05-26,20:15:24,113.47,340.41,L,Electrical,WH03,FieldMachinery Inc,Temperature Sensor
131,344,hyd_pump_l,7,2023-01-21,12:52:26,1313.57,9194.99,M,Hydraulic System,WH03,AgriParts Co,Hydraulic Pump Large
132,148,starter_motor_s,5,2023-05-09,12:48:10,177.81,889.05,L,Electrical,WH01,HarvestTech Ltd,Starter Motor
133,337,chain_feed_l,4,2023-05-01,03:56:24,541.42,2165.68,L,Feeding System,WH02,AgriParts Co,Feed Chain Assembly
134,391,belt_drive_m,10,2023-01-05,08:14:03,1215.65,12156.5,L,Transmission,WH03,AgriParts Co,Drive Belt Medium
135,312,belt_drive_m,1,2023-09-07,06:34:07,428.07,428.07,M,Transmission,WH02,FieldMachinery Inc,Drive Belt Medium
136,4,blade_std_s,3,2023-05-21,20:37:08,994.58,2983.74,S,Cutting System,WH01,AgriParts Co,Standard Cutting Blade
137,47,radiator_cool_m,4,2023-11-06,13:41:48,644.25,2577.0,M,Cooling System,WH01,FieldMachinery Inc,Radiator Cooling Unit
138,160,sensor_temp_s,10,2023-08-11,21:42:28,150.31,1503.1,S,Electrical,WH01,HarvestTech Ltd,Temperature Sensor
139,387,starter_motor_s,1,2023-06-04,02:58:13,426.35,426.35,L,Electrical,WH02,GreenAgro Supplies,Starter Motor
140,311,chain_feed_l,7,2023-12-05,09:56:44,342.96,2400.72,L,Feeding System,WH01,FieldMachinery Inc,Feed Chain Assembly
141,221,hyd_pump_l,5,2023-05-07,21:35:43,742.78,3713.9,L,Hydraulic System,WH02,AgriParts Co,Hydraulic Pump Large
142,113,bearing_axle_m,10,2023-09-13,01:59:40,36.34,363.4,M,Chassis,WH01,HarvestTech Ltd,Axle Bearing
143,392,belt_drive_m,5,2023-12-08,11:56:47,201.98,1009.9,M,Transmission,WH03,GreenAgro Supplies,Drive Belt Medium
144,90,blade_std_s,7,2023-05-06,19:23:26,1062.92,7440.44,L,Cutting System,WH03,FieldMachinery Inc,Standard Cutting Blade
145,37,bearing_axle_m,1,2023-05-23,15:52:56,52.64,52.64,S,Chassis,WH02,GreenAgro Supplies,Axle Bearing
146,294,bearing_axle_m,7,2023-03-27,10:32:27,194.88,1364.16,S,Chassis,WH02,HarvestTech Ltd,Axle Bearing
147,317,chain_feed_l,6,2023-01-30,03:12:31,669.15,4014.9,S,Feeding System,WH01,GreenAgro Supplies,Feed Chain Assembly
148,302,bearing_axle_m,9,2023-07-14,02:51:48,608.76,5478.84,M,Chassis,WH03,FieldMachinery Inc,Axle Bearing
149,114,sensor_temp_s,3,2023-07-22,02:46:51,777.96,2333.88,S,Electrical,WH03,HarvestTech Ltd,Temperature Sensor
150,398,sensor_temp_s,6,2023-05-16,23:29:59,1227.18,7363.08,S,Electrical,WH01,HarvestTech Ltd,Temperature Sensor
151,132,gearbox_hd_l,3,2023-09-10,21:55:57,250.48,751.44,L,Transmission,WH01,HarvestTech Ltd,Heavy Duty Gearbox
152,396,chain_feed_l,8,2023-02-23,20:31:29,1145.82,9166.56,M,Feeding System,WH03,FieldMachinery Inc,Feed Chain Assembly
153,322,sensor_temp_s,3,2023-01-30,16:00:40,125.72,377.16,M,Electrical,WH03,FieldMachinery Inc,Temperature Sensor
154,141,starter_motor_s,1,2023-11-02,12:48:49,773.32,773.32,M,Electrical,WH02,GreenAgro Supplies,Starter Motor
155,20,engine_filter_m,6,2023-11-05,10:27:07,138.18,829.08,S,Engine Components,WH03,GreenAgro Supplies,Engine Oil Filter
156,237,starter_motor_s,9,2023-02-04,01:29:36,688.36,6195.24,L,Electrical,WH03,HarvestTech Ltd,Starter Motor
157,165,starter_motor_s,8,2023-09-14,18:15:15,247.52,1980.16,S,Electrical,WH02,AgriParts Co,Starter Motor
158,176,hyd_pump_l,9,2023-07-11,23:31:29,279.52,2515.68,S,Hydraulic System,WH03,GreenAgro Supplies,Hydraulic Pump Large
159,225,radiator_cool_m,9,2023-01-11,22:12:08,259.15,2332.35,M,Cooling System,WH02,GreenAgro Supplies,Radiator Cooling Unit
160,210,sensor_temp_s,10,2023-04-13,01:54:23,1189.11,11891.1,L,Electrical,WH02,AgriParts Co,Temperature Sensor
161,169,hyd_pump_l,9,2023-11-17,14:04:27,444.12,3997.08,L,Hydraulic System,WH03,HarvestTech Ltd,Hydraulic Pump Large
162,171,hyd_pump_l,10,2023-11-24,05:08:57,1377.2,13772.0,M,Hydraulic System,WH03,GreenAgro Supplies,Hydraulic Pump Large
163,67,starter_motor_s,2,2023-05-29,11:16:17,849.41,1698.82,L,Electrical,WH02,HarvestTech Ltd,Starter Motor
164,344,radiator_cool_m,2,2023-01-21,23:31:15,1013.92,2027.84,L,Cooling System,WH02,AgriParts Co,Radiator Cooling Unit
165,186,belt_drive_m,3,2023-07-05,07:47:54,529.06,1587.18,M,Transmission,WH01,HarvestTech Ltd,Drive Belt Medium
166,71,blade_std_s,2,2023-07-14,10:46:10,1270.53,2541.06,S,Cutting System,WH03,AgriParts Co,Standard Cutting Blade
167,339,sensor_temp_s,10,2023-03-03,04:46:16,905.94,9059.4,S,Electrical,WH01,HarvestTech Ltd,Temperature Sensor
168,355,starter_motor_s,3,2023-12-09,15:56:06,89.45,268.35,M,Electrical,WH03,HarvestTech Ltd,Starter Motor
169,228,starter_motor_s,5,2023-04-28,16:20:41,370.15,1850.75,S,Electrical,WH02,GreenAgro Supplies,Starter Motor
170,100,sensor_temp_s,10,2023-06-16,16:02:29,705.98,7059.8,M,Electrical,WH02,GreenAgro Supplies,Temperature Sensor
171,83,gearbox_hd_l,10,2023-12-16,05:02:20,1312.68,13126.8,S,Transmission,WH03,GreenAgro Supplies,Heavy Duty Gearbox
172,191,radiator_cool_m,2,2023-10-18,18:47:01,1280.47,2560.94,M,Cooling System,WH01,HarvestTech Ltd,Radiator Cooling Unit
173,140,chain_feed_l,9,2023-08-05,05:21:53,1250.79,11257.11,S,Feeding System,WH01,GreenAgro Supplies,Feed Chain Assembly
174,179,engine_filter_m,7,2023-09-29,01:56:20,609.77,4268.39,M,Engine Components,WH01,GreenAgro Supplies,Engine Oil Filter
175,42,sensor_temp_s,4,2023-02-17,01:01:34,495.06,1980.24,S,Electrical,WH03,FieldMachinery Inc,Temperature Sensor
176,75,blade_std_s,1,2023-07-06,10:26:41,1378.16,1378.16,M,Cutting System,WH03,HarvestTech Ltd,Standard Cutting Blade
177,389,chain_feed_l,8,2023-12-01,22:24:14,32.75,262.0,S,Feeding System,WH01,FieldMachinery Inc,Feed Chain Assembly
178,111,blade_std_s,9,2023-04-19,22:10:07,803.46,7231.14,S,Cutting System,WH02,HarvestTech Ltd,Standard Cutting Blade
179,155,hyd_pump_l,1,2023-05-17,08:40:52,644.24,644.24,L,Hydraulic System,WH02,AgriParts Co,Hydraulic Pump Large
180,57,chain_feed_l,10,2023-11-18,19:31:01,49.24,492.4,L,Feeding System,WH03,HarvestTech Ltd,Feed Chain Assembly
181,368,blade_std_s,5,2023-08-23,15:37:41,27.31,136.55,M,Cutting System,WH01,GreenAgro Supplies,Standard Cutting Blade
182,96,hyd_pump_l,9,2023-12-19,13:07:45,124.83,1123.47,L,Hydraulic System,WH03,AgriParts Co,Hydraulic Pump Large
183,200,chain_feed_l,1,2023-09-01,23:08:38,595.65,595.65,M,Feeding System,WH02,AgriParts Co,Feed Chain Assembly
184,183,hyd_pump_l,6,2023-09-08,08:46:44,1106.09,6636.54,L,Hydraulic System,WH01,FieldMachinery Inc,Hydraulic Pump Large
185,69,engine_filter_m,6,2023-04-30,19:52:47,524.36,3146.16,L,Engine Components,WH01,GreenAgro Supplies,Engine Oil Filter
186,357,chain_feed_l,3,2023-05-03,04:54:35,118.07,354.21,M,Feeding System,WH01,FieldMachinery Inc,Feed Chain Assembly
187,104,engine_filter_m,4,2023-06-11,01:31:32,490.5,1962.0,M,Engine Components,WH03,GreenAgro Supplies,Engine Oil Filter
188,279,chain_feed_l,5,2023-08-05,01:19:59,1136.1,5680.5,S,Feeding System,WH02,FieldMachinery Inc,Feed Chain Assembly
189,400,engine_filter_m,6,2023-02-24,09:56:51,208.6,1251.6,M,Engine Components,WH02,GreenAgro Supplies,Engine Oil Filter
190,381,chain_feed_l,7,2023-07-09,12:20:38,1461.24,10228.68,M,Feeding System,WH03,GreenAgro Supplies,Feed Chain Assembly
191,189,radiator_cool_m,5,2023-01-30,03:00:28,1097.44,5487.2,S,Cooling System,WH02,HarvestTech Ltd,Radiator Cooling Unit
192,280,belt_drive_m,6,2023-04-04,03:44:07,143.1,858.6,L,Transmission,WH02,FieldMachinery Inc,Drive Belt Medium
193,229,starter_motor_s,7,2023-10-29,06:04:02,1042.4,7296.8,M,Electrical,WH02,AgriParts Co,Starter Motor
194,373,sensor_temp_s,10,2023-10-03,15:50:08,429.97,4299.7,S,Electrical,WH01,GreenAgro Supplies,Temperature Sensor
195,187,radiator_cool_m,3,2023-06-07,01:08:01,235.6,706.8,L,Cooling System,WH03,GreenAgro Supplies,Radiator Cooling Unit
196,18,blade_std_s,2,2023-04-30,08:35:32,1173.31,2346.62,M,Cutting System,WH02,GreenAgro Supplies,Standard Cutting Blade
197,291,engine_filter_m,10,2023-01-08,05:35:11,1026.62,10266.2,M,Engine Components,WH02,GreenAgro Supplies,Engine Oil Filter
198,391,hyd_pump_l,10,2023-01-05,05:00:47,805.95,8059.5,M,Hydraulic System,WH02,FieldMachinery Inc,Hydraulic Pump Large
199,128,hyd_pump_l,1,2023-07-05,06:46:25,761.09,761.09,M,Hydraulic System,WH03,AgriParts Co,Hydraulic Pump Large
200,135,belt_drive_m,8,2023-02-26,07:48:44,1494.64,11957.12,M,Transmission,WH03,GreenAgro Supplies,Drive Belt Medium
